tag	count	related
belt	267317	
holding weapon	213194	
buttons	108883	
piercing	91284	
holding food	75424	
holding cup	57131	
holding gun	56275	
suspenders	54919	
tassel	54387	
eyepatch	54088	
holding phone	42845	
holding book	34675	
zipper	32373	
cuffs	28279	
holding umbrella	25541	
watch	22264	
holding flower	18726	
holding knife	18604	
holding bottle	17529	
holding tray	16212	
holding polearm	15044	
holding microphone	13622	
holding poke ball	13620	
harness	13340	
sleeve cuffs	12910	
leg ribbon	11288	
holding animal	11265	
holding stuffed toy	10753	
holding plate	10735	
handcuffs	10476	
holding gift	9793	
chest harness	9448	
holding fruit	9410	
holding can	9087	
badge	8605	
holding candy	8466	
holding spoon	8321	
weapon on back	8244	
holding fork	8180	
holding chopsticks	8156	
holding cigarette	7883	
holding bow (weapon)	7656	
holding card	7380	
holding wand	7129	
holding ball	6894	
holding camera	6831	
holding lollipop	6798	
holding pen	6705	
holding paper	6692	
weapon over shoulder	6513	
holding pom poms	6270	
holding towel	5981	
holding shield	5836	
holding broom	5788	
aiguillette	5766	
holding bowl	5368	
holding drink	4999	
holding scythe	4998	
towel on head	4715	
holding axe	4697	
holding leash	4562	
pocket watch	4533	
holding controller	4213	
holding dagger	4195	
chest belt	3906	
button badge	3901	
holding flag	3860	
holding smoking pipe	3725	
belly chain	3636	
holding doll	3614	
holding hammer	3541	
holding sheath	3398	
holding syringe	3393	
holding pokemon	3378	
holding paintbrush	3337	
holding popsicle	3200	
holding handheld game console	3120	
holding cat	3119	
holding swim ring	3101	
holding game controller	3082	
holding arrow	3047	
medal	3032	
holding sign	2974	
holding baseball bat	2904	
fanny pack	2783	
thigh ribbon	2752	
holstered	2592	
holding gohei	2565	
holding pencil	2476	
sweater around waist	2435	
insignia	2362	
holding whip	2340	
holding stick	2293	
respirator	2247	
holding pillow	2246	
holding brush	2204	
utility belt	2186	
holding scissors	2180	
holding water gun	2169	
holding ice cream	2097	
holding cane	2060	
buttoned cuffs	1968	
holding leaf	1963	
holding balloon	1902	
holding ladle	1734	
shoulder belt	1710	
sword over shoulder	1674	
holding beachball	1658	
holding guitar	1657	
holding stylus	1650	
holding saucer	1633	
holding chocolate	1619	
holding vegetable	1615	
holding fishing rod	1560	
condom belt	1523	
holding violin	1494	
holding bucket	1493	
holding needle	1492	
holding megaphone	1462	
baseball mitt	1445	
ammunition belt	1428	
holding pizza	1397	
holding notebook	1303	
holding cotton candy	1299	
holding fireworks	1288	
holding remote control	1286	
oven mitts	1277	
pentacle	1274	
holding drumsticks	1263	
holding money	1164	
holding teapot	1159	
leg wrap	1159	
holding crepe	1152	
holding wrench	1117	
holding mop	1099	
holding skull	1081	
holding test tube	1077	
holding branch	1069	
holding microphone stand	1045	
holding burger	1041	
holding coin	1022	
side cape	1022	
holding plectrum	1020	
holding chain	979	
holding frying pan	958	
sam browne belt	935	
holding pole	922	
stopwatch	910	
holding creature	904	
holding toy	878	
holding skewer	847	
makeup brush	841	
holding toothbrush	834	
holding watermelon	800	
hand wraps	786	
holding mirror	773	
holding key	754	
holding ice cream cone	748	
holding shovel	743	
holding cross	741	
holding magnifying glass	741	
holding surfboard	741	
holding plant	728	
holding quill	724	
holding torch	722	
holding newspaper	718	
holding whisk	714	
holding pocky	704	
holding bell	696	
umbrella over shoulder	668	
holding trident	665	
holding spring onion	659	
holding crossbow	652	
holding scepter	649	
holding flute	648	
holding shower head	636	
holding flask	629	
holding binoculars	614	
holding rope	605	
holding egg	595	
holding lighter	595	
belt chain	592	
cuff links	589	
holding whistle	588	
holding blanket	582	
holding menu	572	
holding baby	564	
holding reins	563	
holding comb	562	
corsage	556	
towel around waist	552	
holding chainsaw	550	
holding torpedo	531	
holding dog	529	
holding lightsaber	529	
holding carrot	518	
holding pickaxe	515	
waist sash	514	
holding barcode scanner	506	
holding paddle	498	
holding racket	498	
holding sketchbook	473	
holding sponge	464	
holding pointer	463	
suspenders pull	462	
holding bird	447	
holding mallet	447	
holding duster	444	
crinoline	427	
holding petal	407	
holding hair brush	401	
thigh bow	399	
boutonniere	371	
holding cigar	371	
sweater guard	298	
holding skateboard	268	
holding tanzaku	265	
holding baton	264	
open towel	253	
towel on one shoulder	240	
holding crayon	221	
yaopei	196	
large buttons	192	
planted knife	178	
holding own leash	161	
holding computer mouse	121	
plain epaulettes		
shendyt		
