tag	count	franchises
kiryu coco (1st costume)	1615	hololive
takeba yukari	1615	persona, persona 3, persona 3 reload
sonoda chiyoko	1612	idolmaster, idolmaster shiny colors
tamamo cross (umamusume)	1612	umamusume
piplup	1611	pokemon, pokemon dppt, pokemon (anime)
byleth (male) (fire emblem)	1609	fire emblem, fire emblem: three houses, fire emblem heroes
tachibana hibiki (symphogear)	1608	senki zesshou symphogear
fubuki (one-punch man)	1606	one-punch man
fuwawa abyssgard (1st costume)	1603	hololive, hololive english
kuchiki rukia	1603	bleach, bleach: sennen kessen-hen
orange pekoe (girls und panzer)	1601	girls und panzer
z23 (azur lane)	1600	azur lane, azur lane: slow ahead
asashio kai ni (kancolle)	1599	kantai collection
oyama mihari	1598	onii-chan wa oshimai!
eris greyrat	1596	mushoku tensei
yaoyorozu momo	1595	boku no hero academia
kuma (kancolle)	1592	kantai collection
tsubaki (blue archive)	1591	blue archive
shadow the hedgehog	1588	sonic (series), sonic adventure 2
komiya kaho	1584	idolmaster, idolmaster shiny colors
mavuika (genshin impact)	1581	genshin impact
louise francoise le blanc de la valliere	1580	zero no tsukaima
professor niyaniya (blue archive)	1580	blue archive
martha (fate)	1579	fate (series), fate/grand order
reisa (blue archive)	1579	blue archive
cu chulainn (fate/stay night)	1576	fate (series), fate/stay night, fate/grand order
moona hoshinova	1576	hololive, hololive indonesia, hololive english
gentildonna (umamusume)	1574	umamusume
hakui koyori (1st costume)	1572	hololive
sakura miko (1st costume)	1570	hololive
atsuko (blue archive)	1566	blue archive
felicia (darkstalkers)	1566	darkstalkers
inoue orihime	1565	bleach, bleach: sennen kessen-hen
lio fotia	1565	promare
abigail williams (swimsuit foreigner) (fate)	1564	fate (series), fate/grand order
ohara mari	1564	love live!, love live! sunshine!!
asahina mikuru	1563	suzumiya haruhi no yuuutsu
schwarz (arknights)	1563	arknights
bulma	1562	dragon ball, dragon ball (classic), dragon ball z
eyjafjalla (arknights)	1562	arknights
nemona (pokemon)	1561	pokemon, pokemon sv
shiina taki	1561	bang dream!, bang dream! it's mygo!!!!!
nagatoro hayase	1560	ijiranaide nagatoro-san
shiina yuika	1558	nijisanji
ujimatsu chiya	1558	gochuumon wa usagi desu ka?
kayoko (dress) (blue archive)	1557	blue archive
princess king boo	1557	mario (series), luigi's mansion, new super mario bros. u deluxe
eimi (blue archive)	1554	blue archive
hojo karen	1554	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
horikawa raiko	1554	touhou
hisakawa hayate	1552	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
kurokoma saki	1551	touhou
nia teppelin	1549	tengen toppa gurren lagann
prisma illya	1549	fate (series), fate/kaleid liner prisma illya, fate/grand order
i-168 (kancolle)	1547	kantai collection
yang guifei (fate)	1546	fate (series), fate/grand order
alear (fire emblem)	1543	fire emblem, fire emblem engage, fire emblem heroes
natsuki subaru	1543	re:zero kara hajimeru isekai seikatsu
yukinoshita yukino	1543	yahari ore no seishun lovecome wa machigatteiru.
dehya (genshin impact)	1542	genshin impact
g11 (girls' frontline)	1542	girls' frontline
etna (disgaea)	1537	disgaea, makai senki disgaea
osaka shizuku	1536	love live!, love live! nijigasaki high school idol club
unzan	1536	touhou, undefined fantastic object
aegis (persona)	1535	persona, persona 3, persona 3 portable
amagi yukiko	1535	persona, persona 4
yoisaki kanade	1535	project sekai, vocaloid
senshi (dungeon meshi)	1534	dungeon meshi
eren yeager	1532	shingeki no kyojin
sakuragi mano	1531	idolmaster, idolmaster shiny colors
yagami hayate	1531	lyrical nanoha, mahou shoujo lyrical nanoha strikers, mahou shoujo lyrical nanoha
jervis (kancolle)	1528	kantai collection
makigumo (kancolle)	1527	kantai collection
lyrica prismriver	1526	touhou
hilbert (pokemon)	1525	pokemon, pokemon bw, pokemon bw2
kizuna ai	1524	kizuna ai inc., the moon studio
andou (girls und panzer)	1521	girls und panzer
kemomimi-chan (naga u)	1521	original
higuchi kaede	1520	nijisanji
kazama iroha (1st costume)	1520	hololive
shinki (touhou)	1520	touhou, touhou (pc-98)
siege (arknights)	1519	arknights
jeanne d'arc (swimsuit archer) (fate)	1518	fate (series), fate/grand order
haru urara (umamusume)	1517	umamusume
kamisato ayato	1517	genshin impact
gangut (kancolle)	1516	kantai collection
murakumo kai ni (kancolle)	1515	kantai collection
nonomi (swimsuit) (blue archive)	1512	blue archive
sunday (honkai: star rail)	1512	honkai: star rail, honkai (series)
gengar	1511	pokemon, pokemon xy
tone (kancolle)	1511	kantai collection
baltimore (azur lane)	1510	azur lane
elesa (pokemon)	1510	pokemon, pokemon bw, pokemon bw2
silver fox (kemono friends)	1510	kemono friends, kemono friends 3
koharu (swimsuit) (blue archive)	1509	blue archive
air groove (umamusume)	1506	umamusume
pochita (chainsaw man)	1506	chainsaw man
bremerton (scorching-hot training) (azur lane)	1505	azur lane
komaeda nagito	1504	danganronpa (series), danganronpa 2: goodbye despair, galaga
m4a1 (girls' frontline)	1504	girls' frontline
helena blavatsky (fate)	1503	fate/grand order, fate (series)
uruha rushia (1st costume)	1503	hololive
tracer (overwatch)	1501	overwatch, overwatch 1
pepperoni (girls und panzer)	1499	girls und panzer
tennoji rina	1499	love live!, love live! nijigasaki high school idol club
fushiguro megumi	1498	jujutsu kaisen
tanaka mamimi	1498	idolmaster, idolmaster shiny colors
pekomama	1497	hololive
yamato (one piece)	1497	one piece
ruan mei (honkai: star rail)	1496	honkai: star rail, honkai (series)
jeanne d'arc alter (ver. shinjuku 1999) (fate)	1494	fate (series), fate/grand order
shinano (azur lane)	1493	azur lane
hoshino ruby	1491	oshi no ko
jakuzure nonon	1490	kill la kill
himeno (chainsaw man)	1487	chainsaw man
agnes digital (umamusume)	1486	umamusume
mysterious heroine x alter (fate)	1486	fate (series), fate/grand order
fu hua (herrscher of sentience)	1485	honkai (series), honkai impact 3rd
hinata hajime	1485	danganronpa (series), danganronpa 2: goodbye despair, galaga
lucario	1482	pokemon, pokemon dppt
niwatari kutaka	1481	touhou
kamiya nao	1480	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
rosehip (girls und panzer)	1480	girls und panzer
takakura ken (dandadan)	1480	dandadan
sinclair (project moon)	1479	project moon, limbus company
lopunny	1478	pokemon
charlotte (madoka magica)	1477	mahou shoujo madoka magica, mahou shoujo madoka magica (anime), mahou shoujo madoka magica: hangyaku no monogatari
topaz (honkai: star rail)	1477	honkai: star rail, honkai (series)
m16a1 (girls' frontline)	1476	girls' frontline
hasumi (track) (blue archive)	1473	blue archive
abukuma (kancolle)	1469	kantai collection
kujo jolyne	1469	jojo no kimyou na bouken, stone ocean, diamond wa kudakenai
hoshi syoko	1466	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
midna	1466	the legend of zelda, the legend of zelda: twilight princess
uchiha sasuke	1463	naruto (series), naruto, naruto shippuuden
takagi-san	1462	karakai jouzu no takagi-san, karakai jouzu no (moto) takagi-san
toshinou kyouko	1462	yuru yuri
tsumiki mikan	1462	danganronpa (series), danganronpa 2: goodbye despair, danganronpa: trigger happy havoc
mei (overwatch)	1461	overwatch, overwatch 1
hino rei	1460	bishoujo senshi sailor moon
tsukumo sana	1460	hololive, hololive english
akaza akari	1458	yuru yuri
falin touden (tallman)	1458	dungeon meshi
ho'olheyak (arknights)	1458	arknights
libeccio (kancolle)	1457	kantai collection
osaki tenka	1457	idolmaster, idolmaster shiny colors
shiver (splatoon)	1457	splatoon (series), splatoon 3
ikamusume	1455	shinryaku! ikamusume
luigi	1453	mario (series), luigi's mansion, super smash bros.
arashio (kancolle)	1450	kantai collection
purple heart (neptunia)	1450	neptune (series), choujigen game neptune
tachibana kanade	1449	angel beats!
harukawa maki	1444	danganronpa (series), danganronpa v3: killing harmony
kotonoha akane	1444	voiceroid, vocaloid
shampoo (ranma 1/2)	1443	ranma 1/2
ryoshu (project moon)	1442	project moon, limbus company
ling (arknights)	1441	arknights
umbreon	1441	pokemon
choukai (kancolle)	1438	kantai collection
kuroshio (kancolle)	1438	kantai collection
leafa (sao)	1438	sword art online, sword art online: code register
lelouch vi britannia	1438	code geass
xingqiu (genshin impact)	1438	genshin impact
miyako (swimsuit) (blue archive)	1436	blue archive
miyamoto musashi (swimsuit berserker) (fate)	1436	fate/grand order, fate (series)
haniyasushin keiki	1435	touhou
eternity larva	1431	touhou
modeus (helltaker)	1431	helltaker
florian (pokemon)	1429	pokemon, pokemon sv
kazano hiori	1426	idolmaster, idolmaster shiny colors
natori sana	1426	sana channel
ezo red fox (kemono friends)	1424	kemono friends
m4 sopmod ii (girls' frontline)	1424	girls' frontline
sheryl nome	1424	macross, macross frontier
shana	1423	shakugan no shana
android 21	1421	dragon ball, dragon ball fighterz
beatrice (umineko)	1420	umineko no naku koro ni
iizunamaru megumu	1420	touhou
brendan (pokemon)	1417	pokemon, pokemon oras, pokemon rse
moe (blue archive)	1417	blue archive
wriothesley (genshin impact)	1417	genshin impact
rosmontis (arknights)	1413	arknights
caenis (fate)	1412	fate/grand order, fate (series)
hina (dress) (blue archive)	1410	blue archive
madotsuki	1410	yume nikki
mimikyu	1409	pokemon, pokemon sm, pokemon xy
rita rossweisse	1409	honkai (series), honkai impact 3rd
kino makoto	1408	bishoujo senshi sailor moon
ringo (touhou)	1408	touhou
asashimo (kancolle)	1407	kantai collection
hisakawa nagi	1406	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
pomu rainpuff	1406	nijisanji, nijisanji en
kousaka reina	1405	hibike! euphonium
lyney (genshin impact)	1401	genshin impact
noire (neptunia)	1401	neptune (series), choujigen game neptune
roll (mega man)	1401	mega man (series), mega man (classic)
fubuki (blue archive)	1400	blue archive
niijima makoto	1400	persona, persona 5
anila (granblue fantasy)	1399	granblue fantasy
yuuki haru	1399	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls u149
murasaki shion (1st costume)	1397	hololive
futami ami	1395	idolmaster, idolmaster (classic)
shiomi kotone	1395	persona, persona 3, persona 3 portable
tashkent (kancolle)	1395	kantai collection
neru (bunny) (blue archive)	1390	blue archive
isekaijoucho	1389	kamitsubaki studio
ceres fauna (1st costume)	1388	hololive, hololive english
kirijou mitsuru	1388	persona, persona 3, persona 3 portable
ako (dress) (blue archive)	1386	blue archive
commander (girls' frontline)	1385	girls' frontline, girls' frontline 2: exilium
shantae	1382	shantae (series), shantae and the pirate's curse
daitaku helios (umamusume)	1378	umamusume
ashido mina	1377	boku no hero academia
dido (azur lane)	1377	azur lane
kyon	1377	suzumiya haruhi no yuuutsu, suzumiya haruhi no shoushitsu
eous (zenless zone zero)	1374	zenless zone zero
saber lily	1373	fate (series), fate/unlimited codes, fate/grand order
widowmaker (overwatch)	1373	overwatch, overwatch 1
kagamihara nadeshiko	1372	yurucamp
moroboshi kirari	1369	idolmaster, idolmaster cinderella girls
re-class battleship	1369	kantai collection
xiangling (genshin impact)	1368	genshin impact
nagisa kaworu	1366	neon genesis evangelion, rebuild of evangelion, evangelion: 3.0 you can (not) redo
oshida (girls und panzer)	1366	girls und panzer
kasugano sakura	1365	street fighter, street fighter zero (series), street fighter v
japanese crested ibis (kemono friends)	1364	kemono friends
matoba risa	1363	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls u149
camellya (wuthering waves)	1361	wuthering waves
johnston (kancolle)	1360	kantai collection
konjiki no yami	1358	to love-ru, to love-ru darkness
mima (touhou)	1357	touhou, touhou (pc-98)
wakaba mutsumi	1356	bang dream!, bang dream! it's mygo!!!!!
brazilian miku	1354	vocaloid
nerissa ravencroft (1st costume)	1354	hololive, hololive english
tsurugi (blue archive)	1353	blue archive
hyuuga (kancolle)	1352	kantai collection
yuigahama yui	1349	yahari ore no seishun lovecome wa machigatteiru.
katsuragi misato	1347	neon genesis evangelion, rebuild of evangelion
hozuki momiji	1346	onii-chan wa oshimai!
pavolia reine	1346	hololive, hololive indonesia, hololive english
yayoi (kancolle)	1344	kantai collection
t-head admiral	1342	kantai collection
meisho doto (umamusume)	1341	umamusume
ninomiya asuka	1340	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
lucky beast (kemono friends)	1339	kemono friends
battleship princess	1337	kantai collection, puchimasu!
ethan (pokemon)	1336	pokemon, pokemon hgss, pokemon gsc
pod (nier:automata)	1336	nier (series), nier:automata
zeta (granblue fantasy)	1336	granblue fantasy
kirara (genshin impact)	1335	genshin impact
rotom phone	1335	pokemon, pokemon sv, pokemon swsh
jessie (pokemon)	1334	pokemon, pokemon (anime), pokemon (classic anime)
sabrina (pokemon)	1334	pokemon, pokemon frlg, pokemon hgss
agano (kancolle)	1333	kantai collection
little red riding hood (grimm)	1333	little red riding hood, grimm's fairy tales, original
airi (blue archive)	1332	blue archive
sakuma mayu	1332	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
suou momoko	1332	idolmaster, idolmaster million live!, idolmaster million live! theater days
koyuki (blue archive)	1331	blue archive
virtuosa (arknights)	1331	arknights
jumpy dumpty	1330	genshin impact
jingliu (honkai: star rail)	1328	honkai: star rail, honkai (series)
kotonoha aoi	1328	voiceroid, vocaloid
sukoya kana	1328	nijisanji
meowscarada	1327	pokemon, pokemon sv
colorado (kancolle)	1325	kantai collection
hatoba tsugu	1324	tsugu (vtuber)
cagliostro (granblue fantasy)	1323	granblue fantasy
aubrey (omori)	1322	omori
himmel (sousou no frieren)	1320	sousou no frieren
kirara (blue archive)	1319	blue archive
mimura kanako	1319	idolmaster, idolmaster cinderella girls
sephiroth	1319	final fantasy, final fantasy vii, final fantasy vii remake
oyashio (kancolle)	1318	kantai collection
boudica (fate)	1317	fate/grand order, fate (series)
mejiro dober (umamusume)	1316	umamusume
osakabehime (fate)	1316	fate (series), fate/grand order
female rover (wuthering waves)	1314	wuthering waves
sengoku nadeko	1314	monogatari (series), bakemonogatari
chongyun (genshin impact)	1310	genshin impact
ichikawa hinana	1310	idolmaster, idolmaster shiny colors
blaze the cat	1309	sonic (series)
himeko (honkai: star rail)	1309	honkai (series), honkai: star rail
tharja (fire emblem)	1309	fire emblem, fire emblem awakening, fire emblem heroes
lucy (cyberpunk)	1307	cyberpunk (series), cyberpunk edgerunners
haro	1306	gundam, gundam 00, gundam suisei no majo
charizard	1304	pokemon, pokemon frlg, pokemon swsh
ceobe (arknights)	1303	arknights
malenia blade of miquella	1303	elden ring
st ar-15 (girls' frontline)	1302	girls' frontline
vertin (reverse:1999)	1301	reverse:1999
kuki shinobu	1299	genshin impact
totoki airi	1299	idolmaster, idolmaster cinderella girls
yi sang (project moon)	1295	project moon, limbus company
son gohan	1294	dragon ball, dragon ball z, dragon ball super
tarnished (elden ring)	1294	elden ring, elden ring: shadow of the erdtree
alear (female) (fire emblem)	1293	fire emblem, fire emblem engage, fire emblem heroes
anby demara	1293	zenless zone zero
ryu (street fighter)	1293	street fighter, street fighter 6, capcom
atalanta (fate)	1292	fate (series), fate/apocrypha, fate/grand order
matikanefukukitaru (umamusume)	1292	umamusume
amane kanata (1st costume)	1290	hololive
monokuma	1290	danganronpa (series), danganronpa: trigger happy havoc, danganronpa 2: goodbye despair
rensouhou-kun	1290	kantai collection
emma verde	1289	love live!, love live! nijigasaki high school idol club
hilichurl (genshin impact)	1289	genshin impact
artoria pendragon (swimsuit ruler) (first ascension) (fate)	1287	fate (series), fate/grand order
aris (maid) (blue archive)	1286	blue archive
hyakumantenbara salome	1286	nijisanji
joutouguu mayumi	1286	touhou
pearl (splatoon)	1286	splatoon (series), splatoon 2, splatoon 3
tokitarou (fate)	1285	fate/grand order, fate (series)
daidouji tomoyo	1284	cardcaptor sakura
kashino (azur lane)	1284	azur lane
mejiro ardan (umamusume)	1284	umamusume
haruna kai ni (kancolle)	1283	kantai collection
kawakaze (kancolle)	1282	kantai collection
yamada anna	1282	boku no kokoro no yabai yatsu
luciana de montefio	1280	zenless zone zero
ayanami (kancolle)	1279	kantai collection
t.m. opera o (umamusume)	1277	umamusume
richelieu (kancolle)	1275	kantai collection
vaporeon	1275	pokemon
arisugawa natsuha	1273	idolmaster, idolmaster shiny colors
hanami ume	1272	idolmaster, gakuen idolmaster
blaze (arknights)	1270	arknights
nakasu kasumi	1269	love live!, love live! nijigasaki high school idol club
boo (mario)	1267	mario (series), luigi's mansion, new super mario bros. u deluxe
reiuji utsuho (bird)	1266	touhou
baobhan sith (first ascension) (fate)	1263	fate/grand order, fate (series)
chilchuck tims	1263	dungeon meshi
katsuragi ace (umamusume)	1261	umamusume
altera (fate)	1260	fate (series), fate/grand order, fate/extra
racing miku	1260	vocaloid, goodsmile racing, goodsmile company
suzuhara lulu	1260	nijisanji
vikala (granblue fantasy)	1260	granblue fantasy
aile (mega man zx)	1259	mega man (series), mega man zx, mega man zx advent
diana cavendish	1258	little witch academia
sakurako (blue archive)	1258	blue archive
murasaki shikibu (fate)	1257	fate (series), fate/grand order
awa subaru	1256	girls band cry
sonozaki mion	1255	higurashi no naku koro ni
hoshino aquamarine	1254	oshi no ko
kurosaki ichigo	1254	bleach, bleach: sennen kessen-hen
collei (genshin impact)	1252	genshin impact
n (pokemon)	1252	pokemon, pokemon bw, pokemon bw2
sakura miko (casual)	1252	hololive
miyuki (kancolle)	1251	kantai collection
super creek (umamusume)	1248	umamusume
kamoi (kancolle)	1247	kantai collection
rias gremory	1243	high school dxd
furutaka (kancolle)	1241	kantai collection
sakamoto mio	1240	world witches series, strike witches
adventurer (ff11)	1239	final fantasy, final fantasy xi
grey wolf (kemono friends)	1239	kemono friends
nishi kinuyo	1239	girls und panzer, gekitotsu! joshikousei oiroke sensha gundan
m200 (girls' frontline)	1238	girls' frontline
umikaze (kancolle)	1238	kantai collection
yowane haku	1235	vocaloid, utau
mio (xenoblade)	1232	xenoblade chronicles (series), xenoblade chronicles 3
hayashimo (kancolle)	1231	kantai collection
kaguya luna	1231	the moon studio, kizuna ai inc.
muelsyse (arknights)	1231	arknights
inkling boy	1230	splatoon (series), splatoon 1, splatoon 2
getou suguru	1229	jujutsu kaisen
okamisty	1229	touhou, night sparrow love
phosphophyllite	1229	houseki no kuni
artoria pendragon (alter swimsuit rider) (second ascension) (fate)	1228	fate (series), fate/grand order
dantsu flame (umamusume)	1228	umamusume
sprigatito	1227	pokemon, pokemon sv, pokemon (anime)
ayane (blue archive)	1226	blue archive
chibi usa	1226	bishoujo senshi sailor moon, bishoujo senshi sailor moon r, bishoujo senshi sailor moon supers
hikawa sayo	1225	bang dream!
aozaki aoko	1224	mahou tsukai no yoru, tsukihime, fate (series)
kero (cardcaptor sakura)	1224	cardcaptor sakura
ootori emu	1224	project sekai
magical mirai miku	1223	vocaloid, magical mirai (vocaloid)
okita souji alter (fate)	1223	fate (series), fate/grand order, koha-ace
bowser	1222	mario (series), super smash bros., the legend of zelda
shibuya kanon	1222	love live!, love live! superstar!!
hong lu (project moon)	1221	project moon, limbus company
konno junko	1220	zombie land saga
may (guilty gear)	1219	guilty gear, guilty gear strive, guilty gear xrd
isuzu (kancolle)	1217	kantai collection
francesca lucchini	1216	world witches series, strike witches
nekomusume	1216	gegege no kitarou
oikawa shizuku	1216	idolmaster, idolmaster cinderella girls
leonardo da vinci (rider) (fate)	1213	fate/grand order, fate (series)
yahata umiri	1212	bang dream!, bang dream! it's mygo!!!!!
konoe kanata	1211	love live!, love live! nijigasaki high school idol club
a2 (nier:automata)	1210	nier (series), nier:automata
kamijou touma	1210	toaru majutsu no index, toaru kagaku no railgun, toaru majutsu no index: new testament
misumi uika	1210	bang dream!, bang dream! it's mygo!!!!!
smart falcon (umamusume)	1210	umamusume
rex (xenoblade)	1209	xenoblade chronicles (series), xenoblade chronicles 2, xenoblade chronicles 3
miyu (swimsuit) (blue archive)	1207	blue archive
fine motion (umamusume)	1206	umamusume
hagikaze (kancolle)	1206	kantai collection
iris (pokemon)	1206	pokemon, pokemon bw, pokemon (anime)
y'shtola rhul	1206	final fantasy, final fantasy xiv
katsuragi (kancolle)	1205	kantai collection
male doctor (arknights)	1205	arknights
celestia ludenberg	1204	danganronpa (series), danganronpa: trigger happy havoc
mamiya (kancolle)	1204	kantai collection
bronya zaychik (silverwing: n-ex)	1203	honkai (series), honkai impact 3rd
dr. ratio (honkai: star rail)	1203	honkai: star rail, honkai (series)
utage (arknights)	1203	arknights
saitama (one-punch man)	1202	one-punch man
elaina (majo no tabitabi)	1200	majo no tabitabi
katori (kancolle)	1200	kantai collection
gigi murin	1199	hololive, hololive english
passionlip (fate)	1199	fate (series), fate/extra, fate/extra ccc
tsukino mito (1st costume)	1199	nijisanji
bayonetta	1198	bayonetta (series), bayonetta 2, bayonetta 1
hachikuji mayoi	1198	monogatari (series), bakemonogatari
frisk (undertale)	1197	undertale
izumi mei	1196	idolmaster, idolmaster shiny colors
tsurumaki maki	1194	voiceroid, vocaloid
vivio	1194	lyrical nanoha, mahou shoujo lyrical nanoha vivid, mahou shoujo lyrical nanoha strikers
leon (pokemon)	1193	pokemon, pokemon swsh
northern white-faced owl (kemono friends)	1193	kemono friends
makoto nanaya	1192	blazblue
elin	1191	tera online
leona heidern	1191	the king of fighters, the king of fighters xv, snk
kasumi (doa)	1190	dead or alive
rosaria (genshin impact)	1190	genshin impact
yunyun (konosuba)	1189	kono subarashii sekai ni shukufuku wo!
angel (kof)	1188	the king of fighters, snk, the king of fighters xiv
bernadetta von varley	1188	fire emblem, fire emblem: three houses, fire emblem heroes
inuyama aoi	1187	yurucamp
nagato (azur lane)	1187	azur lane
cheshire (azur lane)	1186	azur lane
natsuki (doki doki literature club)	1185	doki doki literature club
sucrose (genshin impact)	1185	genshin impact
hoshino fumina	1184	gundam, gundam build fighters, gundam build fighters try
uzaki hana	1183	uzaki-chan wa asobitai!
feixiao (honkai: star rail)	1182	honkai: star rail, honkai (series)
mega gardevoir	1181	pokemon
akali	1180	league of legends
izuna (swimsuit) (blue archive)	1180	blue archive
otonashi kotori	1180	idolmaster, idolmaster (classic)
platinum (arknights)	1180	arknights
uiharu kazari	1180	toaru majutsu no index, toaru kagaku no railgun
gwen (league of legends)	1179	league of legends
takara miyuki	1179	lucky star
jungle pocket (umamusume)	1178	umamusume, umamusume: beginning of a new era
qingyi (zenless zone zero)	1177	zenless zone zero
watatsuki no yorihime	1177	touhou
blue oak	1176	pokemon, pokemon frlg, pokemon rgby
nachi (kancolle)	1176	kantai collection
raphtalia	1176	tate no yuusha no nariagari
shigure (blue archive)	1176	blue archive
vi (league of legends)	1176	league of legends, arcane: league of legends
igarashi futaba (shiromanta)	1175	senpai ga uzai kouhai no hanashi
jigglypuff	1175	pokemon, vocaloid, project voltage
silence (arknights)	1173	arknights
aki rosenthal	1172	hololive
clumsy nun (diva)	1172	little nuns (diva)
myoukou (kancolle)	1172	kantai collection
aranara (genshin impact)	1169	genshin impact
etorofu (kancolle)	1169	kantai collection
shigure kai san (kancolle)	1169	kantai collection
irisviel von einzbern	1168	fate (series), fate/zero, fate/grand order
miyashita ai	1168	love live!, love live! nijigasaki high school idol club
shidare hotaru	1168	dagashi kashi
mithrun	1167	dungeon meshi
hanami saki	1166	idolmaster, gakuen idolmaster
ise (kancolle)	1166	kantai collection
sailor mercury	1165	bishoujo senshi sailor moon
tokiko (touhou)	1165	touhou
asaka karin	1164	love live!, love live! nijigasaki high school idol club
baiken	1164	guilty gear, guilty gear xrd, guilty gear strive
maki (blue archive)	1164	blue archive
nearl (arknights)	1164	arknights
dante (devil may cry)	1162	devil may cry (series), devil may cry 3, devil may cry 5
calem (pokemon)	1161	pokemon, pokemon xy, pokemon bw2
iori (swimsuit) (blue archive)	1161	blue archive
oshino ougi	1161	monogatari (series), owarimonogatari
heathcliff (project moon)	1160	project moon, limbus company
nanachi (made in abyss)	1160	made in abyss
diona (genshin impact)	1159	genshin impact
kujo jotaro	1159	jojo no kimyou na bouken, stardust crusaders, stone ocean
suomi (girls' frontline)	1159	girls' frontline, girls' frontline 2: exilium
texas the omertosa (arknights)	1159	arknights
ciel (tsukihime)	1157	tsukihime, tsukihime (remake), fate (series)
reines el-melloi archisorte	1157	fate (series), lord el-melloi ii case files, fate/grand order
trafalgar law	1157	one piece
ark royal (kancolle)	1156	kantai collection
basil (omori)	1156	omori
swire (arknights)	1156	arknights
tenkyuu chimata	1156	touhou
fuuka (blue archive)	1155	blue archive
kitazawa shiho	1155	idolmaster, idolmaster million live!, idolmaster million live! theater days
zundamon	1154	voicevox, voiceroid
sento isuzu	1151	amagi brilliant park
terra branford	1151	final fantasy, final fantasy vi, dissidia final fantasy
charlotte dunois	1150	infinite stratos
la pluma (arknights)	1149	arknights
liko (pokemon)	1149	pokemon, pokemon (anime), pokemon horizons
penny (pokemon)	1148	pokemon, pokemon sv
kasumi (blue archive)	1147	blue archive
ifrit (arknights)	1146	arknights
kusanagi motoko	1145	ghost in the shell, ghost in the shell stand alone complex
nakiri ayame (1st costume)	1143	hololive
isonami (kancolle)	1141	kantai collection
spider-gwen	1140	marvel, spider-man (series), spider-verse
finana ryugu	1139	nijisanji, nijisanji en
mualani (genshin impact)	1139	genshin impact
tsukuyomi shirabe	1139	senki zesshou symphogear
yumi (senran kagura)	1139	senran kagura, senran kagura shinovi versus, senran kagura new link
sona (league of legends)	1138	league of legends
blanc (neptunia)	1137	neptune (series)
enemy lifebuoy (kancolle)	1137	kantai collection
hayasaka ai	1137	kaguya-sama wa kokurasetai ~tensai-tachi no renai zunousen~
su-san	1136	touhou
tamaki iroha	1136	mahou shoujo madoka magica, magia record: mahou shoujo madoka magica gaiden
von lycaon	1136	zenless zone zero
kise yayoi	1133	precure, smile precure!
rouge the bat	1133	sonic (series)
amagi (azur lane)	1132	azur lane
espeon	1132	pokemon
cinnamoroll	1131	sanrio, fuwa fuwa cinnamoroll, vocaloid
dante (limbus company)	1131	project moon, limbus company
kirlia	1131	pokemon
kyoka (princess connect!)	1131	princess connect!
enna alouette	1130	nijisanji, nijisanji en
hiyori (blue archive)	1130	blue archive
lovely labrynth of the silver castle	1128	yu-gi-oh!
boa hancock	1126	one piece
misumi nagisa	1126	futari wa precure, precure, futari wa precure max heart
nepgear	1126	neptune (series), choujigen game neptune mk2
nijigaoka mashiro	1125	precure, hirogaru sky! precure
faruzan (genshin impact)	1124	genshin impact
grace howard	1123	zenless zone zero
murasame kai ni (kancolle)	1123	kantai collection
purah	1123	the legend of zelda, the legend of zelda: tears of the kingdom, the legend of zelda: breath of the wild
sajo yukimi	1123	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
kishinami hakuno (female)	1122	fate (series), fate/extra, fate/extra ccc
suzukaze (kancolle)	1122	kantai collection
gawr gura (casual)	1121	hololive, hololive english
dimitri alexandre blaiddyd	1120	fire emblem, fire emblem: three houses
narita top road (umamusume)	1120	umamusume, umamusume: road to the top
hoshimachi suisei (school uniform)	1119	hololive
jun'you (kancolle)	1119	kantai collection
krista lenz	1119	shingeki no kyojin
yukoku kiriko	1119	idolmaster, idolmaster shiny colors
chi-chi (dragon ball)	1116	dragon ball, dragon ball z, dragon ball (classic)
minamoto no raikou (swimsuit lancer) (fate)	1116	fate/grand order, fate (series)
crystalfly (genshin impact)	1115	genshin impact
marie (girls und panzer)	1112	girls und panzer
vivlos (umamusume)	1111	umamusume
arashi (kancolle)	1110	kantai collection
xianyun (genshin impact)	1110	genshin impact
dorothea arnault	1109	fire emblem, fire emblem: three houses, fire emblem heroes
rapi (nikke)	1109	goddess of victory: nikke
merlin (fate/prototype)	1107	fate (series), fate/grand order, fate/prototype
sailor venus	1104	bishoujo senshi sailor moon
arataki itto	1103	genshin impact
chiori (genshin impact)	1103	genshin impact
ro635 (girls' frontline)	1103	girls' frontline
soukaku (zenless zone zero)	1103	zenless zone zero
hanyuu	1102	higurashi no naku koro ni
mori calliope (streetwear)	1101	hololive, hololive english
