tag	count
dungeon and fighter	3159
chuunibyou demo koi ga shitai!	3132
dandadan	3108
dungeons & dragons	3099
apex legends	3077
library of ruina	3051
cyberpunk edgerunners	3039
alice in wonderland	3033
fire emblem: mystery of the emblem	3020
fullmetal alchemist	3013
zombie land saga	3013
infinite stratos	3011
pokemon rse	3010
transformers	2996
girls' frontline 2: exilium	2984
spice and wolf	2983
galaga	2960
boku wa tomodachi ga sukunai	2914
fire emblem: radiant dawn	2890
angel beats!	2886
synthesizer v	2881
gundam 00	2868
street fighter v	2862
sennen sensou aigis	2853
the legend of zelda: twilight princess	2802
toradora!	2802
evangelion: 3.0 you can (not) redo	2766
alice gear aegis	2748
gegege no kitarou	2743
pokemon (classic anime)	2740
shoujo kageki revue starlight	2736
a.i. voice	2725
sen no kiseki (series)	2710
clannad	2707
the legend of zelda: ocarina of time	2687
to heart 2	2674
super robot wars	2672
mcdonald's	2671
mahou shoujo lyrical nanoha a's	2668
warhammer 40k	2663
dragon quest iii	2646
houseki no kuni	2646
metal gear (series)	2633
minecraft	2633
project voltage	2621
fairy tail	2618
bloodborne	2614
pokemon adventures	2574
love live! school idol festival	2567
mobile suit gundam	2567
path to nowhere	2512
hyouka	2504
little busters!	2471
evangelion: 2.0 you can (not) advance	2469
macross frontier	2464
mega man (classic)	2455
star wars	2450
sekaiju no meikyuu	2442
urusei yatsura	2420
overlord (maruyama)	2417
x-men	2416
nichijou	2394
fire emblem: the binding blade	2393
zero no tsukaima	2358
komi-san wa komyushou desu	2343
lobotomy corporation	2316
samurai spirits	2312
devil may cry (series)	2308
atelier ryza 1	2267
pokemon sm (anime)	2265
cevio	2255
fire emblem: path of radiance	2234
saenai heroine no sodatekata	2231
project diva (series)	2222
batman (series)	2220
dokidoki! precure	2214
kingdom hearts	2200
arcane: league of legends	2199
senran kagura new link	2198
touhou lostword	2197
new game!	2186
baldur's gate	2178
muv-luv	2177
baldur's gate 3	2161
brave witches	2153
rabbit hole (vocaloid)	2147
pripara	2142
kid icarus	2128
senran kagura shoujo-tachi no shin'ei	2093
heartcatch precure!	2090
fire emblem: the sacred stones	2089
spider-verse	2084
dark souls i	2081
fate/prototype: fragments of blue and silver	2081
idolmaster 1	2071
fate/samurai remnant	2053
holostars	2048
yu-gi-oh! duel monsters	2042
bemani	2041
kara no kyoukai	2041
shadowverse	2041
fate/hollow ataraxia	2038
phase connect	2026
final fantasy vi	2016
mihoyo	2006
uzaki-chan wa asobitai!	1998
closers	1987
ambience synesthesia	1976
stardust crusaders	1961
pokemon horizons	1958
melonbooks	1947
watashi ni tenshi ga maiorita!	1947
gundam seed destiny	1941
azumanga daioh	1937
dragon ball (classic)	1924
gundam build fighters try	1908
ryuuou no oshigoto!	1908
bleach: sennen kessen-hen	1907
final fantasy xi	1905
street fighter zero (series)	1905
axis powers hetalia	1888
puyopuyo	1882
soulcalibur	1878
suite precure	1877
final fantasy vii rebirth	1876
marvel rivals	1865
mega man x (series)	1865
fire emblem echoes: shadows of valentia	1864
sword art online: alicization	1856
stone ocean	1844
working!!	1823
warcraft	1822
os-tan	1819
inazuma eleven (series)	1807
mega man legends (series)	1806
shin megami tensei	1804
senpai ga uzai kouhai no hanashi	1800
avatar legends	1795
promare	1789
star ocean	1787
futari wa precure	1786
melty blood	1779
yu-gi-oh! gx	1779
girls' frontline neural cloud	1778
zeta gundam	1776
my little pony	1775
hidamari sketch	1773
to love-ru darkness	1772
fresh precure!	1768
lawson	1765
berserk	1762
mega man zero (series)	1760
amagi brilliant park	1755
benghuai xueyuan	1754
mega man zx	1750
gintama	1748
bishoujo senshi sailor moon s	1746
dragon's crown	1746
